"","0-4","5-17","18-25 T","18-25 S","18-25 X","26-49 T","26-49 S","26-49 X","50-64 T","50-64 S","50-64 X","65+ T","65+ S","65+ X"
"0-4",0.5154002752,0.9455174756,0.00304676070522221,0.00243463968032342,0.24079331412332,0.0652897851299645,0.0521724930223196,1.59678356491629,0.00385248042512237,0.0030784832221527,0.117866143448981,8.71036792508449e-05,6.96037839410478e-05,0.0204130901171989
"5-17",0.2081375898,1.720904252,0.00422272680337102,0.00337434384559011,0.333732931463327,0.0605232727458507,0.0483636149014013,1.48020960741631,0.00512356561813518,0.00409419621970606,0.15675483155718,0.00010085325566513,8.05909495149005e-05,0.0236353574752725
"18-25 T",0.1043238983,0.619259988,0.0156070823235353,0.0124714822052892,1.23346775151659,0.0314566958311114,0.0251367689522488,0.769332213449677,0.0111582172060707,0.00891643322416963,0.341384221258916,8.62761135749231e-05,6.89424834885376e-05,0.0202191468433237
"18-25 S",0.1043238983,0.619259988,0.0156070823235353,0.0124714822052892,1.23346775151659,0.0314566958311114,0.0251367689522488,0.769332213449677,0.0111582172060707,0.00891643322416963,0.341384221258916,8.62761135749231e-05,6.89424834885376e-05,0.0202191468433237
"18-25 X",0.1043238983,0.619259988,0.0156070823235353,0.0124714822052892,1.23346775151659,0.0314566958311114,0.0251367689522488,0.769332213449677,0.0111582172060707,0.00891643322416963,0.341384221258916,8.62761135749231e-05,6.89424834885376e-05,0.0202191468433237
"26-49 T",0.2888181636,1.008847678,0.00380779662146004,0.003042776786939,0.300939934802681,0.0469330084047855,0.0375037542035248,1.14783432544098,0.00573232849155903,0.00458065327731596,0.175379853425554,0.000129099857009222,0.000103162560196937,0.0302550596933731
"26-49 S",0.2888181636,1.008847678,0.00380779662146004,0.003042776786939,0.300939934802681,0.0469330084047855,0.0375037542035248,1.14783432544098,0.00573232849155903,0.00458065327731596,0.175379853425554,0.000129099857009222,0.000103162560196937,0.0302550596933731
"26-49 X",0.2888181636,1.008847678,0.00380779662146004,0.003042776786939,0.300939934802681,0.0469330084047855,0.0375037542035248,1.14783432544098,0.00573232849155903,0.00458065327731596,0.175379853425554,0.000129099857009222,0.000103162560196937,0.0302550596933731
"50-64 T",0.2098511834,0.7035875245,0.00608574083377556,0.00486306197026847,0.480971709313665,0.0285859337366391,0.0228427682131675,0.699122367880215,0.0300982640025565,0.0240512580267944,0.920852518641399,0.000458832904873182,0.000366649338472422,0.107529297458713
"50-64 S",0.2098511834,0.7035875245,0.00608574083377556,0.00486306197026847,0.480971709313665,0.0285859337366391,0.0228427682131675,0.699122367880215,0.0300982640025565,0.0240512580267944,0.920852518641399,0.000458832904873182,0.000366649338472422,0.107529297458713
"50-64 X",0.2098511834,0.7035875245,0.00608574083377556,0.00486306197026847,0.480971709313665,0.0285859337366391,0.0228427682131675,0.699122367880215,0.0300982640025565,0.0240512580267944,0.920852518641399,0.000458832904873182,0.000366649338472422,0.107529297458713
"65+ T",0.148451168,0.6938604486,0.00268426925942093,0.00214497595444796,0.212144685293942,0.0293757890090959,0.0234739346139892,0.718439752907767,0.0107646976441805,0.00860197520357389,0.329344540841784,0.00258412717724079,0.00206495329781506,0.605600376436539
"65+ S",0.148451168,0.6938604486,0.00268426925942093,0.00214497595444796,0.212144685293942,0.0293757890090959,0.0234739346139892,0.718439752907767,0.0107646976441805,0.00860197520357389,0.329344540841784,0.00258412717724079,0.00206495329781506,0.605600376436539
"65+ X",0.148451168,0.6938604486,0.00268426925942093,0.00214497595444796,0.212144685293942,0.0293757890090959,0.0234739346139892,0.718439752907767,0.0107646976441805,0.00860197520357389,0.329344540841784,0.00258412717724079,0.00206495329781506,0.605600376436539
