"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0.5154002752,0.9455174756,0.00304676070522221,0.00243463968032342,0.000227439711097622,0.240565874400475,0.0652897851299645,0.0521724930223196,0.0074498240786705,1.58933374081876,0.00385248042512237,0.0030784832221527,0.000141158849347703,0.117724984605,8.71036792508449e-05,6.96037839410478e-05,3.13414926424925e-06,0.020409955967079
"5-17",0.2081375898,1.720904252,0.00422272680337102,0.00337434384559011,0.000315225203789952,0.333417706243255,0.0605232727458507,0.0483636149014013,0.00690594606375948,1.47330366133507,0.00512356561813518,0.00409419621970606,0.000187732719547937,0.156567098844768,0.00010085325566513,8.05909495149005e-05,3.62888410407694e-06,0.0236317285901776
"18-25 T",0.1043238983,0.619259988,0.0156070823235353,0.0124714822052892,0.00116506369819509,1.23230268775822,0.0156070823235353,0.0124714822052892,0.00116506369819509,1.23230268775822,0.0156070823235353,0.0124714822052892,0.00116506369819509,1.23230268775822,0.0156070823235353,0.0124714822052892,0.00116506369819509,1.23230268775822
"18-25 S",0.1043238983,0.619259988,0.0314566958311114,0.0251367689522488,0.00358933406767294,0.765742879372919,0.0314566958311114,0.0251367689522488,0.00358933406767294,0.765742879372919,0.0314566958311114,0.0251367689522488,0.00358933406767294,0.765742879372919,0.0314566958311114,0.0251367689522488,0.00358933406767294,0.765742879372919
"18-25 V",0.1043238983,0.619259988,0.0111582172060707,0.00891643322416963,0.000408848567097042,0.340975372707362,0.0111582172060707,0.00891643322416963,0.000408848567097042,0.340975372707362,0.0111582172060707,0.00891643322416963,0.000408848567097042,0.340975372707362,0.0111582172060707,0.00891643322416963,0.000408848567097042,0.340975372707362
"18-25 X",0.1043238983,0.619259988,8.62761135749231e-05,6.89424834885376e-05,3.1043719416767e-06,0.0202160424705344,8.62761135749231e-05,6.89424834885376e-05,3.1043719416767e-06,0.0202160424705344,8.62761135749231e-05,6.89424834885376e-05,3.1043719416767e-06,0.0202160424705344,8.62761135749231e-05,6.89424834885376e-05,3.1043719416767e-06,0.0202160424705344
"26-49 T",0.2888181636,1.008847678,0.00380779662146004,0.003042776786939,0.00028425079856746,0.300655683989432,0.00380779662146004,0.003042776786939,0.00028425079856746,0.300655683989432,0.00380779662146004,0.003042776786939,0.00028425079856746,0.300655683989432,0.00380779662146004,0.003042776786939,0.00028425079856746,0.300655683989432
"26-49 S",0.2888181636,1.008847678,0.0469330084047855,0.0375037542035248,0.00535524286689602,1.14247908256053,0.0469330084047855,0.0375037542035248,0.00535524286689602,1.14247908256053,0.0469330084047855,0.0375037542035248,0.00535524286689602,1.14247908256053,0.0469330084047855,0.0375037542035248,0.00535524286689602,1.14247908256053
"26-49 V",0.2888181636,1.008847678,0.00573232849155903,0.00458065327731596,0.000210038418021508,0.175169815015517,0.00573232849155903,0.00458065327731596,0.000210038418021508,0.175169815015517,0.00573232849155903,0.00458065327731596,0.000210038418021508,0.175169815015517,0.00573232849155903,0.00458065327731596,0.000210038418021508,0.175169815015517
"26-49 X",0.2888181636,1.008847678,0.000129099857009222,0.000103162560196937,4.64524834473293e-06,0.0302504144437601,0.000129099857009222,0.000103162560196937,4.64524834473293e-06,0.0302504144437601,0.000129099857009222,0.000103162560196937,4.64524834473293e-06,0.0302504144437601,0.000129099857009222,0.000103162560196937,4.64524834473293e-06,0.0302504144437601
"50-64 T",0.2098511834,0.7035875245,0.00608574083377556,0.00486306197026847,0.000454298604638188,0.480517410685562,0.00608574083377556,0.00486306197026847,0.000454298604638188,0.480517410685562,0.00608574083377556,0.00486306197026847,0.000454298604638188,0.480517410685562,0.00608574083377556,0.00486306197026847,0.000454298604638188,0.480517410685562
