"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0.6503364211,0.7264668299,0.00382961903953554,0.00306021488927377,0.000285879835089441,0.302378736632479,0.0558273131488134,0.0446111148920686,0.00637011840237519,1.35899103159925,0.0193099144881904,0.0154303828217918,0.00070753514862283,0.590076816749527,0.00109592479125398,0.000875743861133629,3.94333730529283e-05,0.25679485556871
"5-17",0.2215449735,2.632186271,0.00932894212557547,0.00745467559544037,0.000696402542625208,0.736593824327536,0.0518582203127212,0.041439447718042,0.0059172291284721,1.26237234688025,0.0133617168215625,0.0106772303854156,0.00048958706176468,0.408310421736884,0.000844518884350949,0.000674847612248572,3.03873299359791e-05,0.197885937668957
"18-25 T",0.07235710616,1.524238365,0.0344742318990707,0.0275480554761938,0.00257349037290581,2.72201349021923,0.0344742318990707,0.0275480554761938,0.00257349037290581,2.72201349021923,0.0344742318990707,0.0275480554761938,0.00257349037290581,2.72201349021923,0.0344742318990707,0.0275480554761938,0.00257349037290581,2.72201349021923
"18-25 S",0.07235710616,1.524238365,0.0690474272529364,0.0551751917913672,0.00787858598546832,1.6808051310228,0.0690474272529364,0.0551751917913672,0.00787858598546832,1.6808051310228,0.0690474272529364,0.0551751917913672,0.00787858598546832,1.6808051310228,0.0690474272529364,0.0551751917913672,0.00787858598546832,1.6808051310228
"18-25 V",0.07235710616,1.524238365,0.0129953512453951,0.0103844708759706,0.000476163049838455,0.397114938034268,0.0129953512453951,0.0103844708759706,0.000476163049838455,0.397114938034268,0.0129953512453951,0.0103844708759706,0.000476163049838455,0.397114938034268,0.0129953512453951,0.0103844708759706,0.000476163049838455,0.397114938034268
"18-25 X",0.07235710616,1.524238365,0.000543186839662609,0.000434055825800609,1.95448533118299e-05,0.127278429278326,0.000543186839662609,0.000434055825800609,1.95448533118299e-05,0.127278429278326,0.000543186839662609,0.000434055825800609,1.95448533118299e-05,0.127278429278326,0.000543186839662609,0.000434055825800609,1.95448533118299e-05,0.127278429278326
"26-49 T",0.1077763601,0.3671219944,0.00649213756071851,0.00518781002011464,0.000484635990179657,0.512605649122847,0.00649213756071851,0.00518781002011464,0.000484635990179657,0.512605649122847,0.00649213756071851,0.00518781002011464,0.000484635990179657,0.512605649122847,0.00649213756071851,0.00518781002011464,0.000484635990179657,0.512605649122847
"26-49 S",0.1077763601,0.3671219944,0.0859494581526482,0.0686814560166653,0.00980717491441726,2.09224725698171,0.0859494581526482,0.0686814560166653,0.00980717491441726,2.09224725698171,0.0859494581526482,0.0686814560166653,0.00980717491441726,2.09224725698171,0.0859494581526482,0.0686814560166653,0.00980717491441726,2.09224725698171
"26-49 V",0.1077763601,0.3671219944,0.019715879424672,0.0157547858317568,0.000722410121883062,0.602482386829991,0.019715879424672,0.0157547858317568,0.000722410121883062,0.602482386829991,0.019715879424672,0.0157547858317568,0.000722410121883062,0.602482386829991,0.019715879424672,0.0157547858317568,0.000722410121883062,0.602482386829991
"26-49 X",0.1077763601,0.3671219944,0.000793920664985587,0.000634415020206552,2.85667137075925e-05,0.186029866396863,0.000793920664985587,0.000634415020206552,2.85667137075925e-05,0.186029866396863,0.000793920664985587,0.000634415020206552,2.85667137075925e-05,0.186029866396863,0.000793920664985587,0.000634415020206552,2.85667137075925e-05,0.186029866396863
