"","0-4","5-17","18-25 T","18-25 S","18-25 X","26-49 T","26-49 S","26-49 X","50-64 T","50-64 S","50-64 X","65+ T","65+ S","65+ X"
"0-4",0.9952041378,0.4921330792,0.0327737839145362,0.0129717377479205,0.000244655247543239,0.240040694502132,0.0945315010325456,0.0027389597653227,0.0415623959263636,0.0165295820556006,0.000152288898035846,0.0010524387878187,0.000401562955449225,3.78686673207581e-06
"5-17",0.1676587774,3.715152898,0.431907699993641,0.170947408155093,0.00322417715126595,0.227612650499088,0.0896371573590991,0.00259715084181247,0.0627029980021316,0.0249373099771411,0.000229750240727375,0.0018012492488497,0.000687275098790243,6.48122336006159e-06
"18-25 T",0.474629950469948,47.7355476827875,21.2132027608679,16.7922082921524,1.58355879387585,2.688011815716,2.11715594524407,0.306712835805962,0.784947682585639,0.624355590646916,0.0287612912904603,0.0259013696119289,0.0197655781066493,0.000931978524868943
"18-25 S",0.187856710743551,18.8935463603833,16.7922082921524,13.2925830439521,1.25353297233769,2.12780949723139,1.67592437692104,0.24279152388207,0.621358553586043,0.494235087681021,0.0227672171687156,0.0205033251451249,0.0156462797401783,0.000737747038475575
"18-25 X",0.00354309738315437,0.356344335014809,1.58355879387585,1.25353297233769,0.118212156925564,0.200659221372808,0.158045013423546,0.0228960149870013,0.0585960931738201,0.0466079449303307,0.002147021185799,0.00193352894821057,0.00147549407695115,6.95718984726882e-05
"26-49 T",0.531794718562729,3.78906714041372,0.813655196358322,0.644083200884942,0.060739099885136,0.849233840867462,0.668881165098631,0.096900957827623,0.163692538298195,0.130202755802788,0.00599786314491803,0.0114328138138466,0.0087244874615546,0.000411373495416352
"26-49 S",0.209428460000013,1.49218950161479,0.640858394400286,0.507298580316009,0.0478398739465123,0.668881165098631,0.526830175027759,0.0763220004335994,0.128928983356348,0.102551460869084,0.00472409069847821,0.00900481523010214,0.0068716589675844,0.000324009677503807
"26-49 X",0.00606798918231545,0.0432347626189998,0.0928412930271452,0.0734924541192096,0.00693057279776478,0.096900957827623,0.0763220004335994,0.0110567845698653,0.0186779694673113,0.0148566521279918,0.000684380032557207,0.00130452951344354,0.000995498708242915,4.69393514629889e-05
"50-64 T",1.09344669839093,10.186356248466,1.43722748493941,1.13769823266996,0.107288571567057,0.980414181779592,0.772202600308647,0.111869156303505,0.424902270591405,0.337971706914835,0.0155688566838008,0.0325126827758337,0.0248107331963823,0.00116986563208604
"50-64 S",0.434869466055343,4.05116711161004,1.1431857627727,0.90493706497325,0.0853384511560812,0.779831687033264,0.614218018997959,0.0889818961296525,0.337971706914835,0.268826228007541,0.0123836313249465,0.0258609276877593,0.0197347164949688,0.000930523350667921
"50-64 X",0.004006501286738,0.0373238581054819,0.0526614948512675,0.0416864346457797,0.00393116372904363,0.0359233850778134,0.028294298353196,0.00409900107006443,0.0155688566838008,0.0123836313249465,0.000570458938954026,0.00119129817272639,0.000909090810027574,4.28650812806931e-05
"65+ T",0.587141633968463,3.96624936928747,0.666320627295171,0.527454288210478,0.049740621479402,1.27918960471573,1.00752677532294,0.145960620002468,1.38256538077963,1.09970695382041,0.0506586190734703,1.0135208910143,0.773427298795732,0.0364683304042864
"65+ S",0.224026644145578,1.5133410486331,0.508475520800596,0.40250531487377,0.0379575348197652,0.976161586203458,0.768853132886633,0.111383918239793,1.05504861058635,0.83919669175147,0.0386580673946495,0.773427298795732,0.590209626487137,0.0278293250057728
"65+ X",0.00211264269848902,0.0142712887072524,0.0239754315937912,0.0189787674098826,0.00178975829181974,0.0460275753248813,0.0362526511879505,0.00525192935188289,0.0497472243135916,0.0395694621545282,0.00182278951975755,0.0364683304042864,0.0278293250057728,0.00131219704918488
