"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0.9952041378,0.4921330792,0.0328607919901496,0.0131293849198504,0,0,0.240040694502132,0.0945315010325456,0.0027389597653227,0,0.0415623959263636,0.0165295820556006,0.000152288898035846,0,0.00104161565572067,0.00041617295427933,0,0
"5-17",0.1676587774,3.715152898,0.433054331640357,0.173024953659643,0,0,0.227612650499088,0.0896371573590991,0.00259715084181247,0,0.0627029980021316,0.0249373099771411,0.000229750240727375,0,0.00178272545555414,0.000712280115445857,0,0
"18-25 T",1.4303262492857,143.85397888843,14.9949488254887,18.7650029786367,0,0,1.80542921297713,2.29223315732744,0.261552917253484,0,0.53242644934669,0.669373212673496,0.0245265237146977,0,0.017650080743336,0.022087692434061,0,0
"18-25 S",0.571480562412107,57.4762246036065,18.7650029786367,23.4829302111185,0,0,2.25935312974498,2.8685501048102,0.327312972418416,0,0.666289963651808,0.837668102493734,0.0306930217580723,0,0.022087692434061,0.0276410155939867,0,0
"18-25 V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-25 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-49 T",4.89984325949373,34.9116575243599,0.511728520904973,0.640388128748564,0,0,0.507501183525689,0.644340432678728,0.0735218052896437,0,0.0987889271160411,0.124198678712097,0.00455076746588037,0,0.00693166512994161,0.00867443552652653,0,0
"26-49 S",1.9296292201822,13.7487162172937,0.649707601238069,0.813058131398987,0,0,0.644340432678728,0.818076108316298,0.093345736659257,0,0.125425717433022,0.157686785720428,0.00577780618680511,0,0.00880067328706939,0.0110133527208275,0,0
"26-49 V",0.0559091597863286,0.398355893354983,0.0741342205623219,0.092773165541333,0,0,0.0735218052896437,0.093345736659257,0.010651119698866,0,0.0143115730563232,0.0179926892190974,0.000659270658682052,0,0.00100419181385177,0.00125666733493749,0,0
"26-49 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-64 T",7.89004230336097,73.5022400595954,0.919229715373411,1.15034392899779,0,0,0.595824933213815,0.756479211734352,0.0863172858477553,0,0.260776083401173,0.327850964107518,0.0120127968879325,0,0.0200464082297053,0.0250865084315569,0,0
"50-64 S",3.13791105562417,29.2322249777922,1.1556671320883,1.44622682133379,0,0,0.749078582075859,0.951055156821512,0.108519174823236,0,0.327850964107518,0.412178345745281,0.0151026389765877,0,0.0252025959562064,0.0315390731700065,0,0
"50-64 V",0.0289099273767537,0.269319775541183,0.0423448336216675,0.0529912398026853,0,0,0.0274470105161158,0.0348476401746095,0.003976254299408,0,0.0120127968879325,0.0151026389765877,0.000553376242133066,0,0.000923449065018607,0.00115562411431762,0,0
"50-64 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ T",0.590226285036936,3.98708675271761,0.448286594845663,0.560995531592794,0,0,0.817745123399971,1.0382364883801,0.118466911390218,0,0.892561885878848,1.12214000223645,0.0411163650635775,0,0.657340546636076,0.822610164206587,0,0
"65+ S",0.235822316406319,1.5930229770773,0.560995531592794,0.702041930509727,0,0,1.02334391767196,1.29927157629676,0.148252052806514,0,1.11697123091638,1.40427024656605,0.051453907703723,0,0.822610164206587,1.02943213486361,0,0
"65+ V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
