"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0.9952041378,0.4921330792,0.0327737839145362,0.0129717377479205,0.000244655247543239,0,0.240040694502132,0.0945315010325456,0.0027389597653227,0,0.0415623959263636,0.0165295820556006,0.000152288898035846,0,0.0010524387878187,0.000401562955449225,3.78686673207581e-06,0
"5-17",0.1676587774,3.715152898,0.431907699993641,0.170947408155093,0.00322417715126595,0,0.227612650499088,0.0896371573590991,0.00259715084181247,0,0.0627029980021316,0.0249373099771411,0.000229750240727375,0,0.0018012492488497,0.000687275098790243,6.48122336006159e-06,0
"18-25 T",0.468829872916587,47.1522092770713,20.953972973438,16.5870039844802,1.56420737324659,0,2.65516374748924,2.09128385549749,0.302964740616174,0,0.775355457253421,0.616725834364067,0.0284098222779079,0,0.0255848494421868,0.0195240385961484,0.000920589551802759,0
"18-25 S",0.185561062333347,18.6626632607396,16.5870039844802,13.1301448908961,1.23821453647401,0,2.10180721884483,1.65544422949232,0.239824560532158,0,0.613765421724739,0.488195431238558,0.022488996999251,0,0.0202527702110636,0.0154550789197818,0.000728731614915213,0
"18-25 V",0.00349979998993034,0.35198973249396,1.56420737324659,1.23821453647401,0.116767579571692,0,0.198207123597253,0.156113670207909,0.0226162208811805,0,0.05788003662409,0.046038386066776,0.00212078413654829,0,0.00190990081888543,0.00145746322983043,6.87217152799155e-05,0
"18-25 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-49 T",0.512283581799533,3.65004919871368,0.783802816746245,0.620452286585328,0.0585106293054822,0,0.818076108316298,0.644340432678728,0.093345736659257,0,0.157686785720428,0.125425717433022,0.00577780618680511,0,0.0110133527208275,0.00840439276691145,0.000396280520157938,0
"26-49 S",0.20174469184186,1.43744222333926,0.617345795755493,0.488686187911903,0.0460846659861415,0,0.644340432678728,0.507501183525689,0.0735218052896437,0,0.124198678712097,0.0987889271160411,0.00455076746588037,0,0.00867443552652653,0.00661954311681224,0.000312122013129363,0
"26-49 V",0.00584535935414843,0.041648512630163,0.0894350178192599,0.0707960728402488,0.00667629544414619,0,0.093345736659257,0.0735218052896437,0.010651119698866,0,0.0179926892190974,0.0143115730563232,0.000659270658682052,0,0.00125666733493749,0.000958974630875981,4.52171829757852e-05,0
"26-49 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-64 T",1.06070285450842,9.88132038414616,1.39418894226535,1.10362925301985,0.104075758136883,0,0.951055156821512,0.749078582075859,0.108519174823236,0,0.412178345745281,0.327850964107518,0.0151026389765877,0,0.0315390731700065,0.0240677625736822,0.00113483338252426,0
"50-64 S",0.421847068231343,3.92985275432155,1.10895245611036,0.877838242485987,0.0827829457748479,0,0.756479211734352,0.595824933213815,0.0863172858477553,0,0.327850964107518,0.260776083401173,0.0120127968879325,0,0.0250865084315569,0.0191437498964801,0.000902658333225245,0
"50-64 V",0.00388652447136961,0.0362061752914067,0.0510845183341982,0.0404381121531804,0.00381344293697411,0,0.0348476401746095,0.0274470105161158,0.003976254299408,0,0.0151026389765877,0.0120127968879325,0.000553376242133066,0,0.00115562411431762,0.000881867601431882,4.15814635867246e-05,0
"50-64 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ T",0.58466584172858,3.94952493885736,0.663510962057873,0.525230178799571,0.0495308808690602,0,1.27379566309505,1.00327835070526,0.145345149817041,0,1.37673553591285,1.09506983428247,0.0504450075550066,0,1.00924719108951,0.770165998295664,0.0363145548854118,0
"65+ S",0.22308199400494,1.50695976376461,0.506331438903252,0.40080807612008,0.0377974797926388,0,0.972045418757353,0.765611120210501,0.110914247168161,0,1.05059980128436,0.835658062335717,0.038495058441226,0,0.770165998295664,0.587720897484418,0.0277119774648996,0
"65+ V",0.00210373434640502,0.014211111155891,0.0238743347134923,0.0188987398963194,0.00178221144207549,0,0.0458334914663756,0.0360997851207298,0.0052297836119429,0,0.0495374558611675,0.0394026101350651,0.00181510338767822,0,0.0363145548854118,0.0277119774648996,0.00130666392551656,0
"65+ X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
