Prop,18-25,26-49,50-64,65+,Total
Teachers_s,0.5358361898,0.5258361898,0.5458361898,0.5558361898,0.5289485912
Staff_s,0.4241638102,0.4141638102,0.4341638102,0.4241638102,0.4226781667
Other_s,0.04,0.06,0.02,0.02,0.04837324207
Teachers_g,0.06683822507,0.6749663838,0.2359623499,0.02223304122,NA
Staff_g,0.0442439364,0.4945456655,0.4134849716,0.04772542648,NA
Teachers_a,0.01237139067,0.03808659382,0.03086994975,0.004234542363,NA
Staff_a,0.009885869466,0.03043466212,0.02466790532,0.003383785556,NA
Other_a,0.9777427399,0.9314787441,0.9444621449,0.9923816721,NA
Other_a_in_s,0.0009122347399,0.004186386583,0.001097235149,0.0001517240763,NA
Total_a,0.02289750649,0.07019365066,0.05497197956,0.007737927893,NA
