"","0-4","5-17","18-25 T","18-25 S","18-25 X","26-49 T","26-49 S","26-49 X","50-64 T","50-64 S","50-64 X","65+ T","65+ S","65+ X"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,1.205851502e-05
"5-17",0,0.07872666634,0,0,0.1608354648,0,0,0.2731828301,0,0,0.04993594073,0,0,0.0003990797267
"18-25 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-25 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-25 X",0,0.235030093931971,0,0,0.998012821961533,0,0,2.38091123462404,0,0,0.482534201019231,0,0,0.00570656030191608
"26-49 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-49 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-49 X",0,0.17523068576053,0,0,0.717761027328632,0,0,4.55521415585247,0,0,1.04302144826581,0,0,0.00909443834618577
"50-64 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-64 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-64 X",0,0.138371307103936,0,0,0.30776422630552,0,0,2.63679036417461,0,0,0.941387960122148,0,0,0.00773890054193108
"65+ T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ S",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ X",2.62747724923446e-06,0.00351624153801218,0,0,0.0070628223314202,0,0,0.0640529011438602,0,0,0.0248445885219004,0,0,0.000285410979226004
