"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205851502e-05
"5-17",0,0.07872666634,0,0,0,0.1608354648,0,0,0,0.2731828301,0,0,0,0.04993594073,0,0,0,0.0003990797267
"18-25 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998956379563742
"18-25 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38316223465749
"18-25 V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48299040639423
"18-25 X",0,0.235252299926722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571195549147362
"26-49 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721125451842079
"26-49 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57656621257668
"26-49 V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04791049461269
"26-49 X",0,0.176052059995454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00913706750845976
"50-64 T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308133252834169
"50-64 S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63995202336596
"50-64 V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942516736962806
"50-64 X",0,0.138537222043883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774817991672014
"65+ T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706390689747673
"65+ S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640627370988288
"65+ V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248484036536048
"65+ X",2.6278807242909e-06,0.00351678149159443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285454806897961
